,std_z,Latitude,Longitude
3,0.10279801921060149,30.326519200000003,78.00687330000004
112,0.10492649877379658,30.326519200000003,78.00687330000004
270,0.10120239249224221,30.326519200000003,78.00687330000004
301,0.07914203888478345,30.326519200000003,78.00687330000004
311,0.07695743638781512,30.32541865384616,78.00609070576924
328,0.07753968274374093,30.325075330000004,78.00566233599999
355,0.0732091633608799,30.32493499999999,78.00555333000004
443,0.08181087886094365,30.32580667000001,78.00134000000001
445,0.16460670460221238,30.325825000000005,78.00123333000005
456,0.11408352358621358,30.325935961538445,78.00063538615386
529,0.07713649815635971,30.32653000000001,77.99875167000003
547,0.4609217631236504,30.327251670000006,77.99892167000003
548,0.2526078953939972,30.32732718038462,77.99891922923074
599,0.07168565654192023,30.32922667000002,77.99880166999998
621,0.07477665100973616,30.32979333000002,77.99875833000004
683,0.07759722249192645,30.33244333000001,77.99856333000001
687,0.08314115707638424,30.332521670000002,77.99854499999996
1293,0.07571162107112349,30.33397333000001,77.97766666999998
1495,0.09133698458919122,30.336395000000007,77.97062832999997
1520,0.07713285659604906,30.336338669200007,77.96952773079997
1521,0.07708770359891286,30.336336670000012,77.96950332999997
1654,0.08864794560997771,30.33611805458335,77.9634405545833
1666,0.07487842852231215,30.33615097416668,77.96309451583335
1669,0.08407403010717122,30.336154999999994,77.96300999999995
1686,0.1043795703676966,30.33620124666666,77.96221833
1687,0.10368158177805739,30.336203329999993,77.96219333
1829,0.08070108728592466,30.33864667,77.95609833000002
1922,0.0820238123784883,30.341249583333337,77.95499180291671
2117,0.1705321363803947,30.345561670000016,77.95389333000001
2118,0.10212569966765807,30.345561670000013,77.95389333000001
2198,0.14186700624718368,30.348234810384607,77.95642955461537
2199,0.09749812595746338,30.34824666999999,77.95645166999999
2250,0.0741492815463923,30.350336217307706,77.95945231038459
2254,0.09848135637696179,30.35046243923078,77.95968948615388
2256,0.10347325627664743,30.35055520874999,77.95983979125005
2257,0.07977074497487253,30.350564999999992,77.95985500000005
2268,0.12070811845745279,30.35109416423075,77.96045070846156
2269,0.07178822064369896,30.35112332999999,77.96048167000002
2280,0.07764595186215252,30.351845413333333,77.96115187166664
2286,0.0701364516222046,30.352249874230775,77.96150750153846
2287,0.08393717457338147,30.35228667000001,77.96153667
2291,0.09272060429882055,30.35255832999999,77.96177332999997
2293,0.07129185744853007,30.35268667000002,77.96189667
2305,0.08717669702175682,30.35339833,77.96268499999998
2309,0.09723915047250971,30.353648329999977,77.96294667000002
2310,0.15034423393511384,30.353752568750014,77.96304694250003
2311,0.08408317100439212,30.35378000000002,77.96307333000003
2312,0.0717192502153311,30.353885552916655,77.96317361041663
2316,0.0813012222130352,30.354141465199994,77.96341620240003
2320,0.11370401203935661,30.354406220384632,77.96366967615387
2321,0.26072402781012766,30.354441670000018,77.96370333000003
2352,0.0823357430561927,30.356006344615373,77.96505692461535
2404,0.08162226619288106,30.358264420384597,77.96606403576922
2405,0.07157833944383056,30.35828332999999,77.96607332999999
2434,0.07396807074089758,30.359682704999997,77.96673957999997
2444,0.07075287795179454,30.36013647769232,77.96697545115389
2494,0.10756388527468046,30.361753270384604,77.96807692192311
