MarkerID,Latitude,Longitude
10190,30.40645146,77.97013118
10191,30.40758866,77.97003967
10192,30.40768385,77.97003423
10193,30.40967538,77.96909481
10194,30.41026833,77.96869833
10195,30.41155198,77.96800141
10196,30.41281167,77.96732
10197,30.41581,77.96619167
10198,30.41581833,77.96627
10199,30.41581833,77.96627
10200,30.41583333,77.966325
10201,30.41650827,77.96652635
10202,30.41671,77.96804667
10203,30.41669,77.96811833
10204,30.41635166,77.96891666
10205,30.41634833,77.96892833
10206,30.41598333,77.970185
10207,30.41598333,77.970185
