,Range,Latitude,Longitude
0,1.0052425097616242,30.416056669999996,77.97004500000001
1,1.0052425097616242,30.416056669999996,77.97004500000001
2,1.0052425097616242,30.416056669999996,77.97004500000001
3,1.0052425097616242,30.416056669999996,77.97004500000001
4,1.0052425097616242,30.416056669999996,77.97004500000001
5,1.0052425097616242,30.416052419,77.97004399950002
6,1.0052425097616242,30.416028330000007,77.97003833000001
7,0.7649425097616243,30.416028330000007,77.97003833000001
8,0.8137425097616242,30.415936250999998,77.97005566549998
9,0.7805425097616242,30.41588667,77.97006499999999
10,0.7844425097616242,30.41588667,77.97006499999999
11,0.5890425097616242,30.41588667,77.97006499999999
12,0.5615425097616242,30.415764747000008,77.97010616349998
13,0.9368425097616242,30.415758330000006,77.97010832999997
14,1.0990425097616243,30.415745581500012,77.97012407999998
15,1.0970425097616243,30.415730000000007,77.97014332999998
16,1.6267425097616242,30.415730000000007,77.97014332999998
17,2.005942509761624,30.41570875,77.97014616900002
18,2.005942509761624,30.415704999999996,77.97014667000002
19,1.9590425097616242,30.415694839999997,77.97015238428568
20,1.7850425097616243,30.41567833,77.97016166999998
21,1.2201425097616243,30.41567833,77.97016166999998
22,0.5909425097616242,30.415654580000012,77.97017116999997
23,0.35244250976162417,30.41565333000001,77.97017166999997
29,0.40714250976162425,30.415619999999997,77.97020333
31,0.5088425097616243,30.41561150000001,77.97021749949998
32,0.5479425097616242,30.415610000000008,77.97021999999998
34,0.24104250976162422,30.415605000000017,77.97024000000003
35,0.24694250976162424,30.415605000000017,77.97024000000003
36,0.24694250976162424,30.415603580499997,77.97025841949997
37,0.2352425097616242,30.41560333,77.97026166999997
38,0.22354250976162426,30.415603966190492,77.9702667480952
65,0.22154250976162426,30.415574999999997,77.97037
82,0.3270425097616242,30.41555333,77.97032332999999
90,0.22734250976162418,30.41555333,77.97032332999999
91,0.2312425097616242,30.41555333,77.97032332999999
149,0.24304250976162423,30.41555333,77.97032332999999
150,0.24104250976162422,30.41555333,77.97032332999999
194,0.22934250976162418,30.41555333,77.97032332999999
203,0.3270425097616242,30.41555333,77.97032332999999
204,0.3270425097616242,30.41555333,77.97032332999999
209,0.31344250976162424,30.41555333,77.97032332999999
210,0.2743425097616242,30.41555333,77.97032332999999
211,0.35444250976162417,30.41554900100001,77.97032982999997
212,0.34074250976162423,30.415546670000015,77.97033332999997
217,0.28994250976162417,30.415546670000015,77.97033332999997
219,0.47954250976162427,30.415546670000015,77.97033332999997
223,0.2391425097616242,30.415546670000015,77.97033332999997
224,0.35054250976162427,30.415546670000015,77.97033332999997
225,0.34864250976162425,30.415546670000015,77.97033332999997
241,0.3309425097616242,30.415546670000015,77.97033332999997
